geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DK,321059.00,334595.00,344400.00,358764.00,372575.00,384764.00,391247.00,400595.00,406552.00,417509.00,424502.00,428936.00,436759.00,443604.00,449424.00,457630.00,468554.00,484826.00,503712.00
EE,6831.00,7853.00,9866.00,10820.00,10472.00,10827.00,11086.00,11740.00,12382.00,13112.00,13639.00,14540.00,15543.00,17086.00,18437.00,19238.00,21120.00,22944.00,24899.00
ES,21505.00,22153.00,23176.00,24836.00,26169.00,26453.00,26589.00,26482.00,26705.00,26701.00,27175.00,27062.00,27146.00,27426.00,28176.00,27844.00,29383.00,30867.00,32587.00
FI,30922.00,31958.00,33003.00,34359.00,35380.00,36861.00,38050.00,39086.00,39652.00,40190.00,40544.00,40985.00,41520.00,42321.00,43483.00,43805.00,45351.00,46621.00,48391.00
FR,29248.00,30123.00,30873.00,31662.00,32279.00,33303.00,33879.00,34517.00,35169.00,35447.00,35837.00,36220.00,37079.00,37583.00,38305.00,36800.00,38862.00,40823.00,42662.00
HR,12190.00,12515.00,13176.00,13749.00,13767.00,14099.00,14589.00,14686.00,14641.00,13887.00,14043.00,14213.00,14275.00,14882.00,15398.00,15669.00,16488.00,18547.00,21523.00
HU,2231826.00,2346351.00,2485627.00,2668645.00,2627147.00,2766896.00,2900213.00,2963651.00,2976696.00,2970048.00,3017883.00,3088300.00,3415825.00,3709768.00,4117792.00,4309676.00,4709988.00,5628285.00,6451317.00
IE,36379.00,37694.00,39984.00,42228.00,42608.00,42332.00,44130.00,44314.00,43847.00,44195.00,44667.00,45629.00,46719.00,48211.00,50194.00,51100.00,52638.00,54312.00,58679.00
IT,24802.00,25634.00,26233.00,27046.00,27174.00,27783.00,28241.00,28079.00,28496.00,28716.00,29083.00,29299.00,29426.00,29786.00,30194.00,28815.00,30719.00,31847.00,32749.00
LT,5879.00,7117.00,8020.00,9069.00,8232.00,8354.00,8926.00,9350.00,9801.00,10214.00,10775.00,11440.00,12534.00,13486.00,18337.00,19476.00,21720.00,24294.00,27178.00
LU,47703.00,49544.00,51991.00,53321.00,53607.00,54797.00,56881.00,57793.00,59332.00,60639.00,61396.00,62037.00,64316.00,65570.00,66702.00,67748.00,71548.00,75409.00,81064.00
LV,5552.00,6766.00,9171.00,10847.00,9472.00,8955.00,9159.00,9841.00,10300.00,11212.00,12075.00,12937.00,13828.00,14833.00,15491.00,15887.00,17018.00,19187.00,22293.00
MT,15000.00,15779.00,16334.00,17107.00,17430.00,18435.00,19271.00,19905.00,20545.00,21389.00,22488.00,23169.00,24072.00,25868.00,26853.00,27016.00,28172.00,29408.00,29989.00
PL,30253.00,31016.00,32815.00,36000.00,37030.00,40507.00,42749.00,43641.00,44310.00,45304.00,46344.00,48551.00,51361.00,55642.00,58620.00,61589.00,64398.00,72579.00,81999.00
PT,14873.00,15100.00,15689.00,16099.00,16519.00,16750.00,16653.00,16230.00,16624.00,16379.00,16451.00,16743.00,17116.00,17601.00,18518.00,18860.00,19851.00,21131.00,22933.00
RO,15302.00,17175.00,17986.00,25277.00,24122.00,25610.00,26336.00,27173.00,28288.00,30272.00,31344.00,35993.00,41055.00,52760.00,59017.00,61352.00,65186.00,74284.00,87752.00
SE,305092.00,316673.00,330247.00,348195.00,357243.00,365680.00,376459.00,386109.00,392604.00,401213.00,411112.00,419774.00,429327.00,441140.00,456102.00,463570.00,479935.00,493597.00,512177.00
SI,16657.00,17512.00,18601.00,20017.00,20428.00,21413.00,21667.00,21268.00,21387.00,21752.00,22098.00,22834.00,23718.00,24525.00,25700.00,26610.00,28654.00,30245.00,33081.00
SK,7936.00,8628.00,9430.00,9943.00,10309.00,10872.00,11190.00,11431.00,11702.00,11928.00,12370.00,12725.00,13317.00,13997.00,14857.00,15346.00,16242.00,17286.00,19001.00
